danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.563,0.487,-7.819,0.0239,0.764,0.00216,0.0986,0.538,78.008,208453,42
0.506,0.47,-8.787,0.0284,0.737,0.608,0.125,0.477,104.967,300240,55
0.47,0.408,-9.433,0.0325,0.931,0.547,0.119,0.408,76.901,237360,40
0.61,0.5,-7.004,0.0247,0.774,0.77,0.12,0.382,111.945,256227,35
0.454,0.366,-9.644,0.0262,0.924,0.241,0.0959,0.244,76.968,299733,42
0.557,0.73,-5.489,0.0234,0.0624,0.000155,0.204,0.426,95.08,297947,39
0.401,0.608,-7.249,0.0324,0.698,0.483,0.121,0.238,128.91,288400,33
0.237,0.352,-8.864,0.0359,0.963,0.229,0.156,0.254,180.402,219013,43
0.633,0.362,-8.761,0.0282,0.872,0.0578,0.166,0.232,107.01,242747,34
0.55,0.416,-9.62,0.0269,0.784,0.188,0.091,0.501,91.938,271840,33
0.319,0.373,-11.285,0.0283,0.232,0.434,0.113,0.0967,67.368,416693,35
0.531,0.631,-6.536,0.0285,0.14,4.98e-05,0.41,0.612,141.532,295467,40
0.472,0.578,-7.947,0.0268,0.223,0,0.223,0.531,179.636,183533,45
0.585,0.459,-8.59,0.0276,0.29,0.000888,0.0646,0.43,116.985,242296,36
0.472,0.754,-8.742,0.0349,0.319,2.87e-06,0.192,0.892,200.66,150331,40
0.478,0.548,-7.959,0.0309,0.124,0,0.0982,0.38,123.47,204253,39
0.418,0.0897,-14.287,0.0367,0.982,0.000928,0.0912,0.0861,103.86,249347,31
0.401,0.817,-6.496,0.0318,0.0173,0.00123,0.147,0.613,74.761,143005,37
0.493,0.451,-10.351,0.0261,0.344,0.00344,0.102,0.343,142.806,321755,38
0.38,0.0295,-13.877,0.0612,0.947,2.06e-06,0.106,0.206,171.805,225840,30
0.558,0.496,-8.041,0.0293,0.493,0.000289,0.0851,0.403,122.524,302098,31
