danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.277,0.992,-6.237,0.0856,3.55e-06,0.836,0.272,0.148,103.494,98293,44
0.38,0.969,-6.147,0.0649,0.000764,0.0241,0.304,0.352,132.869,313373,47
0.17,0.998,-4.585,0.232,0.000136,0.352,0.757,0.06,162.402,211000,40
0.111,0.978,-5.33,0.0737,8.76e-06,0.76,0.257,0.303,165.373,259813,41
0.253,0.949,-6.126,0.111,9.72e-06,0.00809,0.135,0.16,161.611,272880,38
0.273,0.916,-6.859,0.0886,2.73e-05,0.114,0.138,0.223,82.578,334613,38
0.202,0.892,-7.295,0.172,0.000192,0.575,0.126,0.0371,104.903,440867,36
0.297,0.878,-7.49,0.075,3.28e-05,0.806,0.132,0.0385,142.56,620293,39
0.649,0.822,-6.915,0.0531,0.00166,0.0707,0.43,0.794,123.402,232747,46
0.765,0.854,-6.628,0.0308,0.00136,0.000242,0.0703,0.824,108.998,213467,41
0.586,0.821,-6.827,0.0297,0.000141,0.0532,0.0908,0.439,117.983,287027,40
0.459,0.712,-6.017,0.0321,0.0909,1.57e-06,0.275,0.939,203.803,255387,39
0.623,0.759,-6.379,0.0281,0.000777,0.00246,0.133,0.77,106.029,188933,38
0.376,0.889,-6.607,0.0529,0.00013,0.00662,0.0403,0.513,92.164,252893,34
0.744,0.528,-7.957,0.0426,0.0035,0.0047,0.0815,0.654,123.541,242533,34
0.538,0.679,-8.273,0.0331,0.000373,8.09e-05,0.0399,0.47,131.931,244907,34
0.447,0.939,-5.882,0.0843,3.24e-05,0.113,0.0469,0.604,126.914,205867,32
0.465,0.98,-6.208,0.118,0.00512,0.188,0.193,0.59,140.86,223520,32
0.506,0.946,-4.173,0.0652,2.21e-05,0.00226,0.0528,0.651,91.111,255107,54
0.652,0.864,-4.108,0.0325,0.00138,0.0433,0.0371,0.38,122.026,257427,53
0.626,0.982,-5.768,0.0736,0.000282,0.0611,0.0524,0.835,134.989,233213,45
0.53,0.759,-7.067,0.0351,0.00984,0,0.319,0.502,131.999,253840,57
0.648,0.791,-5.295,0.038,0.000216,0.00195,0.0208,0.72,115.978,209720,45
0.535,0.972,-4.428,0.0844,0.00131,0.000471,0.0788,0.436,124.971,208707,50
0.585,0.937,-3.543,0.0707,0.000247,0.0662,0.232,0.6,133.049,264067,44
0.62,0.532,-7.297,0.023,0.0392,0.0245,0.112,0.369,143.993,252293,50
0.502,0.977,-3.563,0.0581,0.00121,0,0.129,0.388,139.995,261547,52
0.733,0.153,-23.272,0.903,0.855,0,0.88,0.573,89.157,46312,23
0.798,0.163,-29.257,0.636,0.318,0,0.883,0.791,88.01,34205,22
0.747,0.126,-26.554,0.79,0.716,0,0.359,0.772,94.466,48548,21
0.741,0.0793,-31.909,0.662,0.893,0,0.246,0.807,76.496,42244,21
0.703,0.131,-30.395,0.905,0.848,0,0.734,0.9,133.936,45439,21
0.788,0.152,-23.049,0.874,0.869,0,0.61,0.815,62.699,41471,21
0.791,0.167,-20.665,0.937,0.912,0,0.794,0.838,68.73,49547,20
0.773,0.122,-30.548,0.914,0.888,0,0.463,0.667,106.524,46624,20
0.674,0.14,-25.691,0.835,0.841,0,0.734,0.714,80.588,53443,20
0.313,0.348,-10.356,0.0632,0.00135,1.68e-06,0.119,0.503,145.614,82613,41
0.365,0.892,-8.036,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,323373,59
0.56,0.933,-7.508,0.0561,0.000784,0.075,0.0594,0.451,141.937,279253,43
0.357,0.549,-7.843,0.0698,0.000798,0.00485,0.22,0.531,130.749,244573,63
