danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.756,0.775,-4.48,0.346,0.0533,0,0.0755,0.475,179.942,201006,60
0.94,0.606,-5.826,0.195,0.0215,0,0.18,0.507,130.0,154433,65
0.825,0.586,-5.122,0.323,0.266,0,0.123,0.814,87.149,165746,60
0.922,0.858,-4.185,0.251,0.00451,0,0.124,0.915,145.033,201979,67
0.945,0.848,-4.76,0.326,0.374,3.31e-05,0.101,0.819,119.918,137107,73
0.933,0.757,-4.602,0.282,0.0265,0,0.139,0.829,140.078,172156,65
0.836,0.804,-4.796,0.293,0.0373,0,0.357,0.605,174.975,131561,57
0.853,0.801,-5.202,0.282,0.0169,0,0.274,0.407,150.163,118026,60
0.908,0.611,-4.745,0.106,0.0686,3.73e-05,0.105,0.199,124.87,154283,53
0.903,0.707,-4.896,0.439,0.0106,2.89e-05,0.114,0.528,85.024,153646,61
0.951,0.766,-4.65,0.259,0.233,0,0.118,0.686,126.989,135867,69
0.82,0.731,-6.219,0.222,0.158,0,0.13,0.535,149.967,128346,54
0.798,0.546,-6.752,0.194,0.221,0,0.0757,0.504,129.961,220423,58
0.795,0.694,-5.053,0.0595,0.0183,0.000186,0.115,0.327,96.046,210160,52
0.845,0.723,-5.18,0.263,0.0112,0,0.107,0.667,146.972,173061,59
0.898,0.522,-5.872,0.337,0.0674,0,0.108,0.675,85.054,163765,63
0.766,0.782,-5.228,0.36,0.0567,0,0.0682,0.585,150.12,243062,51
0.814,0.626,-7.187,0.214,0.173,0,0.101,0.686,123.972,201334,72
0.758,0.759,-4.623,0.344,0.0442,0,0.0765,0.541,179.979,201006,31
0.957,0.59,-6.049,0.143,0.0223,0,0.186,0.448,129.979,154433,29
0.847,0.594,-5.442,0.303,0.276,0,0.123,0.818,87.016,165746,31
0.923,0.867,-4.206,0.244,0.00288,0,0.123,0.93,145.039,201979,32
0.955,0.831,-4.847,0.307,0.313,0.000905,0.108,0.796,119.932,137107,39
0.931,0.759,-4.738,0.276,0.0264,0,0.134,0.77,140.067,172156,28
0.911,0.808,-4.834,0.218,0.0255,0,0.362,0.595,87.512,131561,28
0.852,0.792,-5.271,0.279,0.0144,0,0.274,0.392,150.102,118026,25
0.907,0.597,-5.012,0.0864,0.07,9.55e-05,0.0991,0.19,124.849,154283,22
0.903,0.683,-5.015,0.376,0.0101,0.000186,0.152,0.57,85.015,153646,27
0.951,0.763,-4.675,0.241,0.196,0,0.121,0.634,126.945,135867,36
0.824,0.705,-6.244,0.246,0.174,0,0.129,0.554,149.962,128346,23
0.815,0.544,-6.831,0.31,0.21,0,0.0797,0.512,129.963,220423,25
0.797,0.682,-4.967,0.0595,0.0207,0.0003,0.106,0.277,96.057,210160,24
0.843,0.709,-5.165,0.251,0.0103,0,0.106,0.655,146.951,173061,25
0.896,0.516,-5.969,0.342,0.0587,0,0.109,0.646,85.02,163765,23
0.794,0.767,-5.256,0.359,0.0567,0,0.0706,0.544,149.971,243062,22
0.814,0.636,-7.172,0.226,0.132,0,0.1,0.69,123.977,201334,27
0.85,0.836,-6.689,0.0789,0.000108,0.000115,0.139,0.425,131.961,123636,62
0.884,0.615,-5.352,0.194,0.00527,0,0.271,0.411,152.052,113684,56
0.601,0.181,-19.144,0.822,0.865,0,0.351,0.592,99.153,72520,37
0.94,0.357,-6.693,0.151,0.00151,8.39e-05,0.356,0.134,129.951,177231,49
0.689,0.675,-8.303,0.0845,0.00713,0.0279,0.111,0.185,196.033,80816,48
0.953,0.621,-7.565,0.154,0.00799,4.87e-06,0.307,0.378,132.063,113430,70
0.775,0.532,-14.74,0.861,0.935,0,0.568,0.87,132.156,62515,37
0.843,0.671,-5.708,0.22,0.0517,0,0.286,0.56,137.932,169421,59
0.725,0.873,-6.597,0.318,0.00953,0,0.121,0.573,97.421,113357,43
0.83,0.441,-5.564,0.425,0.00248,0,0.383,0.366,186.072,154839,50
0.983,0.86,-3.583,0.0829,0.0131,0,0.0859,0.88,126.039,125030,59
0.775,0.632,-5.525,0.34,0.0303,0,0.147,0.231,134.96,184885,41
0.766,0.491,-6.226,0.377,0.000249,0,0.112,0.248,170.009,90096,47
0.864,0.692,-5.325,0.384,0.0317,0,0.461,0.776,155.955,189912,42
0.816,0.601,-5.124,0.234,9.34e-05,0,0.0915,0.722,149.937,134400,47
0.811,0.423,-6.317,0.384,0.00156,0,0.224,0.348,160.014,114000,47
0.883,0.702,-5.746,0.295,0.0306,0,0.13,0.848,158.037,148906,42
0.78,0.701,-4.064,0.0832,0.0028,0,0.0819,0.107,184.056,169565,42
0.681,0.635,-8.377,0.552,0.0169,0,0.0589,0.733,144.07,126667,42
0.949,0.683,-4.242,0.0946,0.0199,0,0.171,0.887,130.012,184635,66
0.78,0.312,-12.411,0.647,0.886,0,0.327,0.939,80.959,53362,34
0.848,0.821,-6.794,0.079,0.000151,0.00126,0.139,0.396,131.971,123636,22
0.896,0.623,-5.406,0.167,0.0107,0,0.22,0.342,152.052,113684,15
0.645,0.215,-18.646,0.855,0.869,0,0.688,0.44,97.373,72520,4
0.943,0.353,-6.736,0.35,0.00201,7.62e-05,0.366,0.124,129.965,177231,11
0.687,0.658,-8.529,0.0902,0.00951,0.146,0.106,0.205,196.032,80816,8
0.952,0.587,-7.745,0.186,0.013,6.62e-05,0.307,0.294,132.026,113430,31
0.738,0.512,-14.935,0.657,0.929,0,0.516,0.809,131.472,62515,3
0.864,0.596,-5.889,0.267,0.0337,0,0.302,0.585,137.951,169421,25
0.785,0.877,-6.57,0.295,0.0101,0,0.115,0.598,97.497,113357,6
0.828,0.43,-5.617,0.401,0.00341,0,0.38,0.279,185.92,154839,8
0.984,0.834,-3.722,0.126,0.0131,0,0.0907,0.928,126.008,125030,20
0.813,0.626,-5.759,0.382,0.0358,0,0.147,0.216,134.922,184885,4
0.76,0.488,-6.251,0.377,0.000258,0,0.112,0.251,170.016,90096,8
0.871,0.684,-5.398,0.352,0.03,2.67e-06,0.531,0.727,155.922,189912,5
0.829,0.597,-5.277,0.226,0.000128,0,0.0915,0.653,149.957,134400,31
0.833,0.422,-6.503,0.366,0.00351,0,0.223,0.39,160.0,114000,7
0.886,0.73,-5.914,0.273,0.0299,0,0.128,0.798,158.048,148906,8
0.862,0.682,-4.154,0.0511,0.00229,0,0.0818,0.078,91.994,169565,6
0.902,0.638,-8.448,0.429,0.0184,0,0.0584,0.711,144.056,126667,5
0.952,0.673,-4.231,0.111,0.0105,0,0.17,0.858,130.017,184635,17
0.8,0.303,-12.528,0.629,0.898,0,0.455,0.928,104.997,51226,2
0.826,0.655,-4.775,0.3,0.000761,0,0.0841,0.45,184.057,170871,48
0.842,0.789,-8.733,0.178,0.0265,0,0.355,0.795,111.113,170641,55
0.957,0.437,-7.882,0.359,0.00402,0,0.219,0.616,130.058,137984,68
0.943,0.528,-8.631,0.299,0.00291,0,0.0858,0.608,97.542,167370,56
0.905,0.747,-4.693,0.246,0.0229,0,0.126,0.678,85.004,146869,49
0.892,0.733,-6.677,0.29,0.00218,0,0.166,0.893,152.06,227375,51
0.821,0.681,-6.834,0.177,0.000794,1.91e-05,0.11,0.249,93.991,166906,54
0.914,0.732,-6.1,0.241,0.0166,0,0.107,0.469,94.066,171067,71
0.934,0.873,-4.707,0.309,0.00488,0,0.0832,0.721,139.997,155090,64
0.756,0.711,-4.051,0.242,0.00376,0,0.284,0.447,184.93,134724,47
0.562,0.605,-6.082,0.353,0.058,0,0.156,0.433,98.017,197023,43
0.919,0.806,-4.591,0.291,0.14,0,0.0715,0.64,95.965,225013,46
0.876,0.75,-5.912,0.0432,0.00932,0,0.118,0.653,105.971,183383,41
0.864,0.841,-2.775,0.278,0.0242,0,0.0748,0.713,168.002,151991,44
0.753,0.745,-4.776,0.334,0.0159,0,0.127,0.635,169.02,242001,59
0.821,0.816,-3.835,0.352,0.00711,0,0.0645,0.797,179.974,154389,64
0.935,0.665,-4.65,0.0779,0.000773,0,0.138,0.468,138.027,187992,52
0.83,0.67,-4.911,0.291,0.0005,0,0.0889,0.435,184.027,170871,12
0.859,0.771,-8.865,0.172,0.0298,0,0.355,0.777,111.099,170641,20
0.955,0.436,-7.9,0.38,0.00527,0,0.169,0.559,130.041,137984,32
0.944,0.526,-8.738,0.289,0.00281,0,0.0862,0.619,97.543,167370,20
0.905,0.748,-5.052,0.199,0.0168,0,0.143,0.697,85.053,146869,15
0.896,0.728,-6.693,0.287,0.00245,0,0.128,0.877,152.062,227375,16
0.816,0.666,-6.811,0.176,0.000707,8.89e-05,0.156,0.25,93.952,166906,18
0.914,0.726,-6.183,0.259,0.0135,0,0.106,0.46,94.044,171067,40
0.932,0.849,-4.876,0.344,0.00465,0,0.0874,0.761,140.009,155090,26
0.864,0.708,-4.026,0.128,0.00414,1.26e-06,0.3,0.366,92.502,134724,15
0.8,0.596,-6.089,0.239,0.0775,0,0.201,0.424,98.037,197023,10
0.917,0.791,-4.625,0.286,0.118,0,0.0704,0.671,95.991,225013,18
0.875,0.746,-5.922,0.0441,0.00983,0,0.118,0.64,105.973,183383,10
0.861,0.833,-2.929,0.257,0.0158,0,0.0845,0.655,168.036,151991,13
0.57,0.731,-4.816,0.407,0.019,0,0.137,0.644,169.002,242001,19
0.825,0.82,-3.911,0.356,0.00664,0,0.0489,0.854,179.975,154389,21
0.933,0.64,-4.681,0.073,0.00114,0,0.169,0.424,138.025,187992,16
0.768,0.855,-5.814,0.4,0.245,0,0.374,0.431,135.198,93563,17
0.874,0.532,-7.528,0.365,0.0548,0,0.295,0.687,135.193,220250,20
0.806,0.542,-7.455,0.283,0.0344,0,0.297,0.373,138.43,300405,17
0.89,0.463,-8.778,0.339,0.0168,0,0.271,0.184,138.53,194194,18
